NOME,DESTAQUE_IDA_2020
ALUNO-88,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-89,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-90,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-91,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-92,
ALUNO-93,
ALUNO-94,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-95,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-96,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-97,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-98,
ALUNO-99,
ALUNO-100,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-101,
ALUNO-102,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-103,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-104,
ALUNO-105,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-106,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-107,
ALUNO-108,
ALUNO-109,
ALUNO-110,
ALUNO-111,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-112,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-113,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-114,
ALUNO-115,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-116,
ALUNO-117,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-118,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-119,
ALUNO-120,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-121,
ALUNO-122,
ALUNO-123,
ALUNO-124,
ALUNO-125,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-126,
ALUNO-127,
ALUNO-128,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-129,
ALUNO-130,
ALUNO-131,
ALUNO-132,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-133,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-134,
ALUNO-135,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-136,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-137,
ALUNO-138,
ALUNO-139,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-140,
ALUNO-141,
ALUNO-142,
ALUNO-143,
ALUNO-144,
ALUNO-145,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-146,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-147,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-148,
ALUNO-149,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-150,
ALUNO-151,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-152,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-153,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-154,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-155,
ALUNO-156,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-157,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-158,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-159,
ALUNO-160,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-161,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-162,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-163,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-164,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-165,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-166,
ALUNO-167,
ALUNO-168,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-169,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-170,
ALUNO-171,
ALUNO-172,
ALUNO-173,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-174,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-175,
ALUNO-176,
ALUNO-177,
ALUNO-178,
ALUNO-179,
ALUNO-180,
ALUNO-181,
ALUNO-182,
ALUNO-183,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-184,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-185,
ALUNO-186,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-187,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-188,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-189,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-190,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-191,
ALUNO-192,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-193,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-194,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-195,
ALUNO-196,
ALUNO-197,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-198,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-199,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-200,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-201,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-202,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-203,
ALUNO-204,
ALUNO-205,
ALUNO-206,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-207,
ALUNO-208,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-209,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-210,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-211,
ALUNO-212,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-213,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-214,
ALUNO-215,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-216,Ponto a melhorar em 2021: As suas notas na Faculdade.
ALUNO-217,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-218,
ALUNO-219,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-220,
ALUNO-221,
ALUNO-222,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-223,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-224,
ALUNO-225,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-226,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-227,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-228,
ALUNO-229,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-230,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-231,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-232,
ALUNO-233,
ALUNO-234,
ALUNO-235,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-236,
ALUNO-237,
ALUNO-238,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-239,
ALUNO-240,
ALUNO-241,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-242,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-243,
ALUNO-244,
ALUNO-245,
ALUNO-246,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-247,
ALUNO-248,
ALUNO-249,
ALUNO-250,
ALUNO-251,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-252,
ALUNO-253,
ALUNO-254,
ALUNO-255,
ALUNO-256,
ALUNO-257,
ALUNO-258,
ALUNO-259,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-260,
ALUNO-261,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-262,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-263,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-264,
ALUNO-265,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-266,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-267,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-268,
ALUNO-269,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-270,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-271,
ALUNO-272,
ALUNO-273,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-274,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-275,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-276,
ALUNO-277,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-278,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-279,
ALUNO-280,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-281,
ALUNO-282,
ALUNO-283,
ALUNO-284,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-285,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-286,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-287,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-288,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-289,
ALUNO-290,
ALUNO-291,
ALUNO-292,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-293,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-294,
ALUNO-295,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-296,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-297,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-298,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-299,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-300,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-301,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-302,
ALUNO-303,
ALUNO-304,
ALUNO-305,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-306,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-307,
ALUNO-308,
ALUNO-309,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-310,
ALUNO-311,
ALUNO-312,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-313,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-314,
ALUNO-315,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-316,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-317,
ALUNO-318,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-319,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-320,
ALUNO-321,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-322,
ALUNO-323,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-324,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-325,
ALUNO-326,
ALUNO-327,
ALUNO-328,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-329,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-330,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-331,
ALUNO-332,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-333,
ALUNO-334,
ALUNO-335,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-336,
ALUNO-337,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-338,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-339,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-340,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-341,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-342,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-343,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-344,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-345,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-346,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-347,
ALUNO-348,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-349,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-350,
ALUNO-351,
ALUNO-352,
ALUNO-353,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-354,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-355,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-356,
ALUNO-357,
ALUNO-358,
ALUNO-359,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-360,
ALUNO-361,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-362,
ALUNO-363,
ALUNO-364,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-365,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-366,
ALUNO-367,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-368,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-369,
ALUNO-370,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-371,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-372,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-373,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-374,
ALUNO-375,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-376,
ALUNO-377,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-378,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-379,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-380,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-381,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-382,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-383,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-384,
ALUNO-385,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-386,
ALUNO-387,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-388,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-389,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-390,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-391,
ALUNO-392,
ALUNO-393,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-394,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-395,
ALUNO-396,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-397,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-398,
ALUNO-399,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-400,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-401,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-402,
ALUNO-403,
ALUNO-404,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-405,
ALUNO-406,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-407,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-408,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-409,
ALUNO-410,
ALUNO-411,
ALUNO-412,
ALUNO-413,
ALUNO-414,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-415,
ALUNO-416,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-417,
ALUNO-418,
ALUNO-419,
ALUNO-420,
ALUNO-421,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-422,
ALUNO-423,
ALUNO-424,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-425,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-426,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-427,
ALUNO-428,
ALUNO-429,
ALUNO-430,
ALUNO-431,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-432,
ALUNO-433,
ALUNO-434,
ALUNO-435,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-436,
ALUNO-437,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-438,
ALUNO-439,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-440,
ALUNO-441,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-442,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-443,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-444,
ALUNO-445,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-446,
ALUNO-447,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-448,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-449,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-450,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-451,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-452,
ALUNO-453,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-454,
ALUNO-455,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-456,
ALUNO-457,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-458,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-459,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-460,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-461,
ALUNO-462,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-463,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-464,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-465,
ALUNO-466,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-467,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-468,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-469,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-470,
ALUNO-471,
ALUNO-472,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-473,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-474,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-475,
ALUNO-476,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-477,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-478,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-479,
ALUNO-480,
ALUNO-481,
ALUNO-482,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-483,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-484,Ponto a melhorar em 2021: As suas notas na Faculdade.
ALUNO-485,
ALUNO-486,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-487,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-488,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-489,
ALUNO-490,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-491,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-492,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-493,
ALUNO-494,
ALUNO-495,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-496,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-497,
ALUNO-498,
ALUNO-499,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-500,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-501,
ALUNO-502,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-503,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-504,
ALUNO-505,
ALUNO-506,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-507,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-508,
ALUNO-509,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-510,
ALUNO-511,
ALUNO-512,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-513,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-514,
ALUNO-515,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-516,
ALUNO-517,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-518,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-519,
ALUNO-520,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-521,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-522,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-523,
